Altium Designer Pick and Place Locations
C:\Users\gharris\projects\keyboard\pokey\pokey\Manufacturing\pokey v1.0-A01\Pick and Place\Pick and Place (pokey v1.0-A01).csv

========================================================================================================================
File Design Information:

Date:       29/06/19
Time:       18:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U1.1","POKEY_MOD_R1","BottomLayer","POKEY_MOD_R1","7251.413","3266.575","180",""
"R12.2","100k","BottomLayer","0402","10351.516","3057.500","180",""
"R11.2","10k","BottomLayer","0402","14162.066","1124.016","270",""
"Q1.2","2N7002","BottomLayer","SOT23","5342.500","3637.502","180","N-Channel Enhancement Mode Vertical DMOS FET"
"C15.1","4.7uF","BottomLayer","1608[0603]","12872.066","3247.500","270",""
"C14.1","4.7uF","BottomLayer","1608[0603]","9122.500","3247.500","270",""
"C13.1","4.7uF","BottomLayer","1608[0603]","4625.000","3247.500","270",""
"C12.1","4.7uF","BottomLayer","1608[0603]","1625.000","3247.500","270",""
"C11.1","4.7uF","BottomLayer","1608[0603]","6502.500","2702.500","270",""
"C10.1","4.7uF","BottomLayer","1608[0603]","4815.000","1249.035","270",""
"C9.1","4.7uF","BottomLayer","1608[0603]","3502.500","2702.500","270",""
"C8.1","4.7uF","BottomLayer","1608[0603]","1630.000","1249.035","270",""
"C7.1","4.7uF","BottomLayer","1608[0603]","12877.066","2702.500","270",""
"C6.1","4.7uF","BottomLayer","1608[0603]","11377.066","1249.035","270",""
"C5.1","4.7uF","BottomLayer","1608[0603]","9502.500","2702.500","270",""
"C4.1","4.7uF","BottomLayer","1608[0603]","7815.000","1249.035","270",""
"C3.1","10u","BottomLayer","1210","7440.000","2002.500","0",""
"C2.1","10u","BottomLayer","1210","2190.000","2002.500","0",""
"C1.3.85","100n","BottomLayer","0402","662.066","3671.516","90",""
"C1.3.84","100n","BottomLayer","0402","1412.066","3671.516","90",""
"C1.3.83","100n","BottomLayer","0402","2162.066","3671.516","90",""
"C1.3.82","100n","BottomLayer","0402","2912.066","3671.516","90",""
"C1.3.81","100n","BottomLayer","0402","3662.066","3671.516","90",""
"C1.3.80","100n","BottomLayer","0402","4412.066","3671.516","90",""
"C1.3.79","100n","BottomLayer","0402","5162.066","3671.516","90",""
"C1.3.78","100n","BottomLayer","0402","5912.066","3671.516","90",""
"C1.3.77","100n","BottomLayer","0402","6662.066","3671.516","90",""
"C1.3.76","100n","BottomLayer","0402","6887.066","3256.516","90",""
"C1.3.75","100n","BottomLayer","0402","8162.066","3671.516","90",""
"C1.3.74","100n","BottomLayer","0402","8912.066","3671.516","90",""
"C1.3.73","100n","BottomLayer","0402","9662.066","3671.516","90",""
"C1.3.72","100n","BottomLayer","0402","10787.066","3671.516","90",""
"C1.3.71","100n","BottomLayer","0402","11912.066","3671.516","90",""
"C1.3.70","100n","BottomLayer","0402","12653.858","3667.698","90",""
"C1.3.69","100n","BottomLayer","0402","13412.066","3671.516","90",""
"C1.3.68","100n","BottomLayer","0402","14162.066","3671.516","90",""
"C1.3.67","100n","BottomLayer","0402","849.566","2921.516","90",""
"C1.3.66","100n","BottomLayer","0402","1787.066","2921.516","90",""
"C1.3.65","100n","BottomLayer","0402","2537.066","2921.516","90",""
"C1.3.64","100n","BottomLayer","0402","3287.066","2921.516","90",""
"C1.3.63","100n","BottomLayer","0402","4037.066","2921.516","90",""
"C1.3.62","100n","BottomLayer","0402","4787.066","2921.516","90",""
"C1.3.61","100n","BottomLayer","0402","5537.066","2921.516","90",""
"C1.3.60","100n","BottomLayer","0402","6287.066","2921.516","90",""
